,0
FMNL1,2
MAP3K14,2
NPEPPS,2
PHB,1
NGFR,0
COL1A1,0
MRPL27,1
LRRC59,4
ABCC3,3
NME1,1
MMD,3
TRIM25,5
TSPOAP1-AS1,2
AC004687.1,2
SUPT4H1,1
SKA2,1
CLTC,1
TBX2,1
CD79B,3
ERN1,4
PECAM1,0
SMURF2,2
GNA13,1
RGS9,1
PRKCA,2
KPNA2,1
CDC42EP4,1
CD300A,0
RAB37,2
CD300LF,0
SLC9A3R1,2
ATP5PD,1
JPT1,1
SLC25A19,1
MYO15B,2
SPHK1,0
RHBDF2,3
MXRA7,0
SEC14L1,1
TNRC6C-AS1,2
TK1,1
BIRC5,1
SOCS3,0
TIMP2,0
LGALS3BP,2
C1QTNF1,0
RNF213,2
NPTX1,0
OXLD1,2
MRPL12,1
ALYREF,1
ASPSCR1,2
CD7,2
HEXD,2
TBCD,2
METRNL,0
COLEC12,3
TYMS,1
ADCYAP1,1
NDC80,1
LPIN2,2
ANKRD12,2
RAB31,0
PTPN2,2
SNRPD1,1
GATA6,0
INO80C,1
GALNT1,0
SLC39A6,1
MBD2,1
TCF4,3
ALPK2,3
MALT1,2
SEC11C,4
LMAN1,4
BCL2,2
VPS4B,2
RBFA,1
ADNP2,1
MADCAM1,0
GZMM,2
RNF126,2
FSTL3,2
CFD,0
R3HDM4,2
ABCA7,2
TCF3,3
CSNK1G2,2
MKNK2,3
AC104530.1,3
LMNB2,1
GADD45B,2
GNG7,3
AC005944.1,2
MYDGF,4
UHRF1,1
SAFB2,2
SAFB,2
MLLT1,2
DENND1C,2
C3,0
VAV1,2
INSR,1
FCER2,3
CLEC4G,0
CD209,0
CLEC4M,0
CERS4,3
CD320,4
ADAMTS10,2
SHFL,5
DNMT1,1
S1PR2,1
ICAM1,0
SMARCA4,1
LDLR,0
CNN1,0
ACP5,3
MAN2B1,2
DHPS,2
TNPO2,2
JUNB,0
DNASE2,0
LYL1,3
AC020916.1,0
SAMD1,1
ASF1B,1
ADGRE2,0
NOTCH3,0
RASAL3,2
RAB8A,1
HSH2D,3
KLF2,0
HAUS8,1
PLVAP,0
BST2,5
BISPR,2
NIBAN3,3
CCDC124,1
ARRDC2,2
IFI30,0
SUGP2,2
MEF2B,1
LPAR2,2
UQCRFS1,1
PEPD,1
GRAMD1A,2
LSR,2
HAMP,3
CD22,3
ZBTB32,4
HSPB6,0
HCST,2
TYROBP,0
WDR62,1
SIPA1L3,3
PPP1R14A,0
HNRNPL,1
ZFP36,0
PSMC4,1
SERTAD3,2
PCAT19,0
CD79A,3
POU2F2,3
PLAUR,0
BCL3,0
BCAM,0
NECTIN2,0
APOC1,0
FOSB,0
VASP,3
CALM3,1
SAE1,1
C5AR1,0
NAPA,1
EHD2,0
LIG1,1
EMP3,4
RASIP1,0
PPP1R15A,0
RUVBL2,1
FLT3LG,2
FCGRT,0
NOSIP,2
BCL2L12,1
IL4I1,0
SPIB,3
C19orf48,1
NKG7,4
SIGLEC10,3
MYADM,0
LILRA4,2
LILRB4,0
UBE2S,1
ERVK3-1,2
RBCK1,2
SIRPG,2
SIRPA,0
NOP56,1
SIGLEC1,0
CDC25B,2
PCNA,1
JAG1,0
MACROD2,3
DSTN,0
RRBP1,4
THBD,0
CD93,0
CST3,0
CST7,0
APMAP,0
GINS1,1
HM13,4
ID1,0
TPX2,1
HCK,0
