FOS	LMNA	transcriptional
FOS	MMP2	transcriptional
FOS	MT2A	transcriptional
FOS	MYLK	transcriptional
FOS	NCOA7	transcriptional
FOS	NFIB	transcriptional
FOS	NOTCH3	transcriptional
FOS	NRP1	transcriptional
FOS	PDLIM5	transcriptional
FOS	PPP1R15A	transcriptional
FOS	RGS3	transcriptional
FOS	RNASE1	transcriptional
FOS	RND3	transcriptional
FOS	RTN4	transcriptional
FOS	SGK1	transcriptional
FOS	SHC1	transcriptional
FOS	SVEP1	transcriptional
FOS	TFPI	transcriptional
FOS	TGFBI	transcriptional
FOS	TNS1	transcriptional
FOS	TRIB1	transcriptional
FOSL2	LMNA	transcriptional
FOSL2	RTN4	transcriptional
FOSL2	SPHK1	transcriptional
MYC	AHNAK	transcriptional
MYC	CORO1C	transcriptional
MYC	CTSC	transcriptional
MYC	PREX1	transcriptional
MYC	RALGDS	transcriptional
MYC	TRIB1	transcriptional
NR2F2	TNS1	transcriptional
ATF3	COL6A1	transcriptional
BCL3	APP	transcriptional
BCL3	IL4I1	transcriptional
BCL3	ITGAX	transcriptional
BCL3	KLF6	transcriptional
CEBPB	AOC3	transcriptional
CEBPB	CD34	transcriptional
CEBPB	COL4A2	transcriptional
CEBPB	CTSS	transcriptional
CEBPB	DAB2	transcriptional
CEBPB	DCN	transcriptional
CEBPB	TMEM255B	transcriptional
CEBPB	FN1	transcriptional
CEBPB	GJA4	transcriptional
CEBPB	CEMIP	transcriptional
CEBPB	LYZ	transcriptional
CEBPB	NDRG2	transcriptional
CEBPB	NOTCH3	transcriptional
CEBPB	PDGFRB	transcriptional
CEBPB	PLEK	transcriptional
CEBPB	PLXND1	transcriptional
CEBPB	RAPGEF3	transcriptional
CEBPB	RNASE1	transcriptional
CEBPB	SLC40A1	transcriptional
CEBPB	TFPI	transcriptional
CEBPB	THBS1	transcriptional
CEBPB	TNFRSF9	transcriptional
EGR1	APOC1	transcriptional
EGR1	CCL14	transcriptional
EGR1	GPR183	transcriptional
EGR1	MMRN2	transcriptional
FOS	COL6A3	transcriptional
FOS	TMEM255B	transcriptional
FOS	GGT5	transcriptional
FOS	GJA4	transcriptional
FOS	IGFBP5	transcriptional
FOS	SLC40A1	transcriptional
FOS	SOD3	transcriptional
FOS	THBS1	transcriptional
FOSL2	C1R	transcriptional
JUNB	AOC3	transcriptional
JUNB	CCL14	transcriptional
JUNB	FOXF1	transcriptional
JUNB	GJA4	transcriptional
JUNB	LYZ	transcriptional
JUNB	PDGFRB	transcriptional
JUNB	SGK1	transcriptional
JUNB	SLC40A1	transcriptional
MAFF	CTSS	transcriptional
MAFF	TPM1	transcriptional
MYC	C3	transcriptional
MYC	DCN	transcriptional
MYC	ENPP2	transcriptional
MYC	FOXF1	transcriptional
MYC	ITGA5	transcriptional
MYC	LYZ	transcriptional
MYC	SELENOP	transcriptional
BCL3	CD68	transcriptional
BCL3	TPM1	transcriptional
BCL3	CCN2	transcriptional
BCL3	F2R	transcriptional
FOSL2	TGFBR2	transcriptional
FOSL2	ID1	transcriptional
FOSL2	TRIB1	transcriptional
BCL3	TNFRSF6B	transcriptional
MYC	COL6A2	transcriptional
MYC	THBS2	transcriptional
CEBPB	HMOX1	transcriptional
CEBPB	ID1	transcriptional
CEBPB	LTBR	transcriptional
CEBPB	TRIB1	transcriptional
CEBPB	RNF149	transcriptional
MAFF	SELENOP	transcriptional
MAFF	CCN2	transcriptional
MAFF	ID1	transcriptional
MAFF	LAMB1	transcriptional
MAFF	DUSP1	transcriptional
MAFF	JAML	transcriptional
FOS	TGFBR2	transcriptional
FOS	TNFRSF1A	transcriptional
FOS	IER3	transcriptional
FOS	CD93	transcriptional
