GRN	TNFRSF1A	post_translational	B_IFN,B_preGC,B_GC_LZ,B_GC_prePB,B_plasma,B_mem,DC_pDC,DC_cDC1,DC_cDC2,DC_CCR7+,Monocytes,Macrophages_M1,Macrophages_M2,Endo,FDC	T_CD4+,T_Treg,T_CD4+_naive,T_CD8+_naive,T_CD8+_cytotoxic,NKT,NK,DC_cDC2,Monocytes,Macrophages_M1,Macrophages_M2,Endo,FDC,VSMC
CTSG	C3	post_translational	Mast	FDC,VSMC
CFH	C3	post_translational	ILC,Endo,VSMC	FDC,VSMC
ITGB1	SHC1	post_translational	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC	B_plasma,Endo
LRP1	SHC1	post_translational	Monocytes,Macrophages_M1,Macrophages_M2,VSMC	B_plasma,Endo
ITGB1	CD151	post_translational	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC	T_CD4+_TfH_GC,T_TfR,NK,ILC,Mast,Endo,FDC,VSMC
ITGA5	ENG	post_translational	T_CD4+,T_TIM3+,T_CD4+_naive,T_CD8+_naive,NKT,ILC,Endo	ILC,Macrophages_M1,Endo,VSMC
ITGB1	ENG	post_translational	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC	ILC,Macrophages_M1,Endo,VSMC
CCL14	ACKR1	post_translational	Endo	Endo
CXCL2	ACKR1	post_translational	ILC,DC_cDC2,Monocytes,Endo	Endo
VEGFA	NRP1	post_translational	B_plasma,ILC,DC_CCR7+,Monocytes,FDC,VSMC	ILC,DC_pDC,Macrophages_M2,Endo,VSMC
LGALS1	ITGB1	post_translational	B_plasma,B_mem,T_CD4+,T_TIM3+,NK,DC_pDC,DC_cDC1,DC_cDC2,DC_CCR7+,Monocytes,Macrophages_M1,Macrophages_M2,Mast,FDC,VSMC	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
LAMB1	ITGB1	post_translational	Endo,VSMC	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
C3	ITGAM	post_translational	FDC,VSMC	B_mem,NK,ILC,Monocytes,Macrophages_M1,Mast,FDC
C3	ITGAX	post_translational	FDC,VSMC	B_mem,NK,ILC,DC_cDC1,DC_cDC2,Monocytes,Macrophages_M1,Macrophages_M2
C3	ADRA2A	post_translational	FDC,VSMC	Mast,FDC
LAMC1	ITGB1	post_translational	B_naive,B_activated,B_plasma,Endo,VSMC	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
THBS1	ITGB1	post_translational	Monocytes,Macrophages_M2,Endo,VSMC	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
THBS1	TNFRSF11B	post_translational	Monocytes,Macrophages_M2,Endo,VSMC	DC_CCR7+
THBS1	CD36	post_translational	Monocytes,Macrophages_M2,Endo,VSMC	DC_pDC,DC_cDC2,Monocytes,Macrophages_M2,Endo
CD36	THBS1	post_translational	DC_pDC,DC_cDC2,Monocytes,Macrophages_M2,Endo	Monocytes,Macrophages_M2,Endo,VSMC
ADAM10	GPNMB	post_translational	T_CD4+_TfH_GC,T_Treg,T_TfR,ILC	Macrophages_M1,Macrophages_M2,VSMC
VWF	SELP	post_translational	Endo	T_Treg,Endo
TIMP2	ITGB1	post_translational	DC_cDC2,Monocytes,Macrophages_M1,Macrophages_M2,Endo,VSMC	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
ICAM1	CAV1	post_translational	B_preGC,NKT,NK,ILC,DC_pDC,DC_cDC1,DC_cDC2,DC_CCR7+,Monocytes,Macrophages_M1,Macrophages_M2,Endo,FDC	B_plasma,T_CD4+_TfH_GC,T_TIM3+,Endo,VSMC
ICAM1	IL2RA	post_translational	B_preGC,NKT,NK,ILC,DC_pDC,DC_cDC1,DC_cDC2,DC_CCR7+,Monocytes,Macrophages_M1,Macrophages_M2,Endo,FDC	T_CD4+_TfH,T_Treg,T_TfR,Macrophages_M1,Macrophages_M2
VCAN	ITGB1	post_translational	Monocytes,VSMC	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
LUM	ITGB1	post_translational	VSMC	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
APP	TNFRSF21	post_translational	B_naive,B_activated,B_preGC,T_CD4+_TfH,ILC,DC_pDC,Endo,FDC,VSMC	DC_pDC,DC_cDC1,DC_cDC2,Macrophages_M1,Macrophages_M2,Mast
COL6A3	ITGB1	post_translational	T_CD4+_TfH_GC,T_TfR,T_CD4+_naive,VSMC	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
COL1A2	ITGB1	post_translational	DC_CCR7+,FDC,VSMC	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
COL6A2	ITGB1	post_translational	T_CD8+_naive,T_CD8+_cytotoxic,T_CD8+_CD161+,NKT,Macrophages_M1,Endo,FDC,VSMC	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
CD14	ITGB1	post_translational	Monocytes,Macrophages_M1,Macrophages_M2,Endo,FDC	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
COL3A1	ITGB1	post_translational	VSMC	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
FBLN1	ITGB1	post_translational	VSMC	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
FN1	C5AR1	post_translational	FDC,VSMC	Monocytes,Macrophages_M1,Macrophages_M2
COL18A1	ITGB1	post_translational	T_CD4+_TfH,T_CD4+_naive,Mast,Endo,VSMC	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
COL6A1	ITGB1	post_translational	Macrophages_M1,Endo,FDC,VSMC	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
TGM2	ITGB1	post_translational	ILC,Macrophages_M1,Endo	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
THBS2	ITGB1	post_translational	VSMC	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
S100A9	CD36	post_translational	NKT,DC_cDC2,Monocytes,Macrophages_M1,Macrophages_M2	DC_pDC,DC_cDC2,Monocytes,Macrophages_M2,Endo
MMP9	ITGAM	post_translational	ILC,DC_cDC2,Macrophages_M1,Macrophages_M2	B_mem,NK,ILC,Monocytes,Macrophages_M1,Mast,FDC
PLAU	ITGB1	post_translational	DC_cDC2,DC_CCR7+,Macrophages_M1,Macrophages_M2,VSMC	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
HSPG2	ITGB1	post_translational	Endo,VSMC	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
COL4A1	ITGB1	post_translational	Endo,VSMC	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
SPP1	ITGB1	post_translational	Endo	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
CXCL12	ITGB1	post_translational	Macrophages_M1,Macrophages_M2,Endo,FDC,VSMC	B_GC_DZ,T_CD4+,T_Treg,T_TfR,NK,ILC,Monocytes,Endo,FDC,VSMC
RTN4	NGFR	post_translational	T_CD4+,T_CD4+_TfH,T_Treg,T_TIM3+,NK,ILC,DC_cDC2,DC_CCR7+,Monocytes,Macrophages_M1,Macrophages_M2,Endo,VSMC	DC_CCR7+,FDC,VSMC
A2M	LRP1	post_translational	Macrophages_M1,Macrophages_M2,Endo,VSMC	Monocytes,Macrophages_M1,Macrophages_M2,VSMC
MMP9	LRP1	post_translational	ILC,DC_cDC2,Macrophages_M1,Macrophages_M2	Monocytes,Macrophages_M1,Macrophages_M2,VSMC
C3	LRP1	post_translational	FDC,VSMC	Monocytes,Macrophages_M1,Macrophages_M2,VSMC
