,Unnamed: 0,gene_clusters,localization_score,clustering_rank
896,Zfp652,0,2.793265517835376,6.9604387
897,Abi3,1,3.4858184331798774,9.401987
898,Gngt2,1,3.4115336752553524,13.216849
899,Atp5g1,2,3.1375522584725317,46.581688
900,Tbx21,3,4.2187984489764165,42.12698
901,Psmb3,2,2.5448040772686995,46.326485
902,Arl5c,4,4.2531495931436565,11.00415
903,Ikzf3,3,3.833717950604663,25.378225
904,Rara,3,3.886323272859901,16.9903
905,Top2a,2,7.230625295221061,67.21985
906,Igfbp4,1,6.91536298641118,32.201622
907,Ccr7,1,5.071753328347508,51.614185
908,Stat3,0,3.068555994504237,12.651929
909,Ifi35,5,3.989748712743903,20.651474
910,Kansl1,0,2.5288460001044526,7.4901743
911,Limd2,4,3.13154834876551,33.97251
912,Ddx5,0,3.2871434974568348,54.8762
913,Kpna2,2,6.42224000630462,40.473515
914,Bptf,0,2.969779360870462,8.145585
915,Pitpnc1,0,2.958119485747241,11.131995
916,2610035D17Rik,1,2.5754871038934786,3.0271919
917,Rab37,1,3.5372111044523726,7.5974154
918,Hid1,3,4.090894388124491,19.616177
919,Armc7,4,3.5270687249282,16.355965
920,Jpt1,1,2.452874304500892,42.61295
921,Sumo2,1,1.8273338984812488,41.425613
922,Ubald2,0,3.4684840750189947,17.169209
923,Srsf2,2,3.3033171183136445,54.96268
924,Snhg20,0,2.686959659663428,7.0176363
925,Tnrc6c,0,2.633055711805764,7.9335823
926,Tk1,2,5.726205469089017,72.20965
927,Birc5,2,6.44570977611072,90.57562
928,Socs3,1,4.112019121907628,20.364944
929,Cyth1,0,2.560292637501607,3.1126435
930,Timp2,3,3.9752262248847967,6.594616
931,Lgals3bp,5,5.283597880576113,33.045902
932,Cbx4,0,3.0532840600414666,7.145726
933,Rnf213,5,7.2966693763188415,36.97091
934,Actg1,4,2.523493010920377,65.310974
935,Arhgdia,3,2.074081417531981,36.357998
936,Alyref,2,3.2163641035918293,79.859566
937,Cd7,0,6.817343267763213,31.228004
938,Rhob,0,3.49627336810707,5.7616863
939,Fam49a,3,3.4834633006404974,18.805338
940,Trib2,1,2.895262552382048,5.7444496
941,Lpin1,3,3.388289277806723,13.196632
942,Pdia6,2,4.243323889316106,58.799973
943,Rrm2,2,6.892383360407495,82.0825
944,Id2,3,4.026151971660905,35.78785
945,Rsad2,5,6.289258699270147,11.558876
946,Cmpk2,5,4.891015981705169,15.112708
947,Hbp1,0,2.9183200671173752,8.848362
948,Tspan13,1,3.2113508603102923,24.549402
949,Ifrd1,0,3.626844262736928,15.027045
950,Dnajb9,2,4.000222026991845,10.08886
951,Nfkbia,0,5.949707187288304,32.41584
952,Rps29,0,2.1524090553367925,70.6739
953,Klhdc1,1,2.496394185258263,4.593721
954,Arid4a,0,2.611949508745117,8.663399
955,Prkch,3,3.475548620783387,13.748376
956,Zfp36l1,0,3.895809212915468,23.113157
957,Actn1,0,4.598961584798143,26.973001
958,Susd6,0,2.7210945328581992,4.8709164
959,Srsf5,0,3.677280510528631,34.551308
960,Elmsan1,0,2.990701406469599,10.201391
961,Npc2,4,3.4652281176705078,48.284225
962,Fos,0,9.055397229205882,47.840256
963,Batf,4,4.356583916383115,33.987362
964,Irf2bpl,0,2.9103638417382687,7.1544323
965,Alkbh1,1,2.710970799954969,9.328325
966,Foxn3,3,3.218573132877576,15.716106
967,Calm1,2,1.8790805433764897,65.690636
968,Ccdc88c,3,3.819254710481673,22.019176
969,Btbd7,0,2.7345938021361413,7.7372303
970,Ddx24,5,3.154706820194282,20.068825
971,Ifi27,2,3.544056334880205,20.71876
972,Ifi27l2a,5,8.646333098742247,65.07286
973,Serpina3g,5,5.29751073816656,6.9893665
974,Bcl11b,0,3.155473306906573,7.867475
975,Evl,1,3.880277438693744,27.291431
976,Dync1h1,0,3.0025027551124133,15.096024
977,Hsp90aa1,2,4.29138980636708,77.67069
978,Siva1,2,5.195477169325879,63.8512
979,Gpr132,1,2.823200120027608,9.839632
980,Crip2,3,4.086243481503183,15.575866
981,Crip1,4,2.647403585133852,68.27026
982,Igha,1,2.711950909989354,1.3705186
983,Ighm,4,5.372790247411909,21.868002
984,Tasor2,0,3.066416434088421,6.54309
985,Asb13,0,2.7604607940917374,2.4394681
986,Klf6,0,7.602038564975487,54.82287
987,Zmynd11,0,2.645519663269855,9.239382
988,Actn2,1,3.689623034584464,7.312504
989,Lyst,0,3.930654273649962,14.270652
990,Ggps1,1,2.3327486448733774,5.8059216
991,Arid4b,0,2.764383251607815,9.688479
992,Cdk13,0,2.8405131455946893,9.58791
993,Tcrg-C2,3,5.818875342393966,9.736547
994,Trgv2,3,8.736487460519264,21.456938
995,Hist1h2ak,2,6.864164612893461,30.940773
996,Hist1h1b,2,8.59782615610359,65.78461
997,Hist1h2ap,2,8.416079018542822,50.007626
998,Hist1h1d,2,7.767880756465922,50.718742
999,Hist1h3e,2,6.561758415451534,38.55945
1000,Hist1h2ae,2,8.660237170332197,61.67949
1001,Hist1h4d,2,7.05139812179557,45.56673
1002,Hist1h1e,2,6.82789992671535,55.152973
1003,Hist1h1c,2,5.4643666082088425,31.218878
1004,Hist1h1a,2,7.980010756560783,45.260445
1005,Cmah,1,3.267451996398604,7.210764
1006,Ripor2,3,3.140703543119973,25.326077
1007,Gmnn,2,5.332909598297335,72.418884
1008,Serpinb6b,4,5.555834409513103,47.334427
1009,Serpinb9,4,4.737353184599135,44.233593
1010,Serpinb9b,4,3.942991650814104,8.76978
1011,Txndc5,3,3.1766819433108537,26.134924
1012,Mylip,0,3.377601786472151,9.030387
1013,Dek,2,3.3223801495935072,65.74135
1014,Cks2,2,5.360660031288218,74.000465
1015,Gadd45g,5,4.617338306830137,13.233362
1016,Rnf44,1,2.468795771870977,11.382464
1017,Nsd1,0,2.5731852777919366,11.287935
1018,Prelid1,4,3.141994986469947,54.299263
1019,Ctla2b,4,6.556160955660622,30.434559
1020,Ctla2a,4,7.892800322019674,45.442142
1021,Prxl2c,1,2.4327999157052296,6.2750154
1022,Ice1,0,2.5622533227715767,6.8858385
1023,Slc12a7,0,3.1078851364974804,8.244856
1024,Glrx,4,4.997246029576084,36.59519
1025,Cox7c,1,1.852840403883444,34.582054
1026,Ssbp2,1,3.757519235882759,16.574886
1027,Nsa2,1,2.297032427967849,23.463713
1028,Ankra2,3,2.6135851853464485,10.4887295
1029,Ccnb1,2,7.458202483515628,56.774082
1030,Zswim6,0,2.5925758785328736,4.0068784
1031,Il6st,1,3.2026977213778784,10.225047
1032,Gzma,3,11.117588706586352,78.76046
1033,Gzmk,3,6.17823608653277,41.352753
1034,Esm1,3,7.034766847397875,24.773531
1035,Emb,4,5.1775084586878535,21.763617
1036,Nr1d2,0,4.0168356509537535,9.411204
1037,Gm30054,4,4.310399110036761,20.55696
1038,Dnajc9,2,4.224257228632095,45.63914
1039,Zmiz1,3,4.154681422423227,17.304127
1040,Arhgef3,3,3.093336589793962,10.154334
1041,Tasor,0,2.703093245421973,6.5452547
1042,Gnl3,2,3.607014772630469,18.306684
1043,Nisch,0,2.439550259256365,5.7886353
1044,Sh3bp5,1,3.1025925975091364,12.017584
1045,Gch1,0,3.238849296308906,7.0401998
1046,Lgals3,4,7.021463007710318,77.708176
1047,Trav1,1,2.4623230658808466,1.5990354
1048,Trav2,1,2.6175546656194006,1.0689746
1049,Trav3-1,1,2.421403151522433,0.55337274
1050,Trav5-1,1,2.603676159536198,1.2613173
1051,Trav13d-1,1,2.4341884434534635,0.19764404
1052,Trav8d-2,1,2.622793883674857,1.2507862
1053,Trav16d-dv11,1,2.993727719008728,1.6582818
1054,Trav14d-3-dv8,1,2.478698841297752,0.84986126
1055,Trav10n,1,2.471304027296186,0.83115643
1056,Trav6n-6,1,2.539668766551357,0.809889
1057,Trav13n-1,1,2.498107047306888,0.37399918
1058,Trav8n-2,3,2.837279311840657,2.9466772
1059,Trav16n,1,2.4432776188604453,1.7745951
1060,Trav14n-3,1,2.465136836749047,1.5883045
1061,Trav7-4,1,2.484535179540188,2.0401487
1062,Trav8-1,1,2.4285566474968365,0.46778685
1063,Trav9-1,1,2.488900153202099,2.1487372
1064,Trav10,1,2.7893497880483595,3.2849734
1065,Trav7-5,1,2.5847487226071326,1.9977176
1066,Trav12-1,1,2.834347321323191,1.7713976
1067,Trav13-1,1,3.3515695069403946,11.487801
1068,Trav14-1,3,3.2481776122502883,3.2164714
1069,Trav9-2,1,2.397094295426705,1.5304048
1070,Trav4-3,1,2.6748735719467382,1.0623541
1071,Trav12-2,1,2.7422391030316327,2.061553
1072,Trav12-3,1,2.6371399136467253,1.4692674
1073,Trav13-2,1,2.6364552296700223,1.6549807
1074,Trav14-2,1,2.40367975446286,1.0380324
1075,Trav3-3,1,2.495705478580248,3.855908
1076,Trav4-4-dv10,3,3.360748972507301,2.414268
1077,Trav5-4,4,3.539449918506963,4.941618
1078,Trav6-7-dv9,1,2.577529464272486,1.2912779
1079,Trav7-6,3,2.694819181941736,1.3411729
1080,Trav16,1,2.42461914259394,1.8983729
1081,Trav13-4-dv7,1,2.980883136504316,1.8914535
1082,Trav14-3,1,2.565978927227061,0.74481845
1083,Trav3-4,1,2.5389969578577416,0.9891576
1084,Trav17,1,2.441403262941937,0.43787044
1085,Trav19,1,2.381296266348442,0.5521391
1086,Trav21-dv12,1,2.48998174663102,0.73505515
1087,Trac,4,3.4105416763037204,17.538279
1088,Gm43305,2,3.676663920996563,41.71097
1089,Psme1,5,3.16020336510838,37.000847
