,0
Srsf5,0
Elmsan1,0
Npc2,4
Fos,0
Batf,4
Irf2bpl,0
Alkbh1,1
Foxn3,3
Calm1,2
Ccdc88c,3
Btbd7,0
Ddx24,5
Ifi27,2
Ifi27l2a,5
Serpina3g,5
Bcl11b,0
Evl,1
Dync1h1,0
Hsp90aa1,2
Siva1,2
Gpr132,1
Crip2,3
Crip1,4
Igha,1
Ighm,4
Tasor2,0
Asb13,0
Klf6,0
Zmynd11,0
Actn2,1
Lyst,0
Ggps1,1
Arid4b,0
Cdk13,0
Tcrg-C2,3
Trgv2,3
Hist1h2ak,2
Hist1h1b,2
Hist1h2ap,2
Hist1h1d,2
Hist1h3e,2
Hist1h2ae,2
Hist1h4d,2
Hist1h1e,2
Hist1h1c,2
Hist1h1a,2
Cmah,1
Ripor2,3
Gmnn,2
Serpinb6b,4
Serpinb9,4
Serpinb9b,4
Txndc5,3
Mylip,0
Dek,2
Cks2,2
Gadd45g,5
Rnf44,1
Nsd1,0
Prelid1,4
Ctla2b,4
Ctla2a,4
Prxl2c,1
Ice1,0
Slc12a7,0
Glrx,4
Cox7c,1
Ssbp2,1
Nsa2,1
Ankra2,3
Ccnb1,2
Zswim6,0
Il6st,1
Gzma,3
Gzmk,3
Esm1,3
Emb,4
Nr1d2,0
Gm30054,4
Dnajc9,2
Zmiz1,3
Arhgef3,3
Tasor,0
Gnl3,2
Nisch,0
Sh3bp5,1
Gch1,0
Lgals3,4
Trav1,1
Trav2,1
Trav3-1,1
Trav5-1,1
Trav13d-1,1
Trav8d-2,1
Trav16d-dv11,1
Trav14d-3-dv8,1
Trav10n,1
Trav6n-6,1
Trav13n-1,1
Trav8n-2,3
Trav16n,1
Trav14n-3,1
Trav7-4,1
Trav8-1,1
Trav9-1,1
Trav10,1
Trav7-5,1
Trav12-1,1
Trav13-1,1
Trav14-1,3
Trav9-2,1
Trav4-3,1
Trav12-2,1
Trav12-3,1
Trav13-2,1
Trav14-2,1
Trav3-3,1
Trav4-4-dv10,3
Trav5-4,4
Trav6-7-dv9,1
Trav7-6,3
Trav16,1
Trav13-4-dv7,1
Trav14-3,1
Trav3-4,1
Trav17,1
Trav19,1
Trav21-dv12,1
Trac,4
Gm43305,2
Psme1,5
Psme2,5
Irf9,5
Gzmb,3
Parp4,0
Zmym5,0
Zmym2,0
Lats2,3
Zdhhc20,3
Phf11b,5
Spata13,3
Bnip3l,3
Lpar6,1
Itm2b,1
Lcp1,4
Dnajc15,4
Epsti1,4
Rgcc,1
Mycbp2,0
Mbnl2,0
Rap2a,3
Stk24,3
1810041H14Rik,1
Gpr18,4
Gpr183,1
Selenop,1
Card6,0
Rictor,0
Nipbl,0
Il7r,0
Sub1,4
Retreg1,1
Dap,2
Cox6c,1
Ywhaz,3
Rad21,2
Sntb1,1
Gm2682,0
Myc,1
Asap1,0
Tmem71,3
Sla,4
Ly6e,4
Ly6a,5
Ly6c1,1
Ly6c2,4
Plec,3
Myh9,0
Il2rb,4
Gm36738,1
Cyth4,3
Sh3bp1,0
Lgals1,3
H1f0,0
Ddx17,0
Sun2,0
Apobec3,4
Cbx7,0
Grap2,0
Tnrc6b,0
Ep300,0
Tef,0
Tob2,0
Smdt1,2
Tspo,4
Gramd4,3
Scaf11,0
Slc38a2,0
Pced1b,3
Kmt2d,0
Lmbr1l,1
Tuba1b,2
Tuba1a,0
Tuba1c,2
Tmbim6,5
Racgap1,2
Dip2b,0
Bin2,3
Galnt6,3
Nr4a1,0
Itgb7,4
Rarg,0
Prr13,3
Crebbp,0
Socs1,5
Mcm4,2
Sdf2l1,2
Ranbp1,2
Klhl6,4
Klhl24,0
Eif4a2,0
St6gal1,1
Rtp4,5
Slc49a4,1
Parp14,5
Dtx3l,5
Parp9,5
Golgb1,1
Cox17,3
Arhgap31,0
Zbtb20,0
Tigit,4
Sidt1,1
Plcxd2,0
Cd96,3
Trat1,1
Cd47,4
Bbx,0
Cblb,4
Nfkbiz,0
Senp7,3
St3gal6,4
Atp5j,2
Ifnar2,1
Runx1,3
Setd4,0
Cbr1,1
Pigp,0
